time,SWE_anomaly,location
UTC,April 1 anomaly,
2016-01-01T00:00:00Z,-0.10893251,Sacramento San Joaquin
2017-01-01T00:00:00Z,0.5787737,Sacramento San Joaquin
2018-01-01T00:00:00Z,-0.8139361,Sacramento San Joaquin
2019-01-01T00:00:00Z,1.144083,Sacramento San Joaquin
2020-01-01T00:00:00Z,-0.6761744,Sacramento San Joaquin
2021-01-01T00:00:00Z,-0.5740531,Sacramento San Joaquin
2022-01-01T00:00:00Z,-1.1791266,Sacramento San Joaquin
2023-01-01T00:00:00Z,1.9137499,Sacramento San Joaquin
1981-01-01T00:00:00Z,-2.247798,Salish Sea & WA Coast
1982-01-01T00:00:00Z,0.54910105,Salish Sea & WA Coast
1983-01-01T00:00:00Z,-0.8757538,Salish Sea & WA Coast
1984-01-01T00:00:00Z,-0.5567343,Salish Sea & WA Coast
1985-01-01T00:00:00Z,0.66809666,Salish Sea & WA Coast
1986-01-01T00:00:00Z,-0.5583668,Salish Sea & WA Coast
1987-01-01T00:00:00Z,0.0031621682,Salish Sea & WA Coast
1988-01-01T00:00:00Z,0.37529066,Salish Sea & WA Coast
1989-01-01T00:00:00Z,1.0547527,Salish Sea & WA Coast
1990-01-01T00:00:00Z,0.72898465,Salish Sea & WA Coast
1991-01-01T00:00:00Z,-0.061356846,Salish Sea & WA Coast
1992-01-01T00:00:00Z,-1.1012157,Salish Sea & WA Coast
1993-01-01T00:00:00Z,-0.7538669,Salish Sea & WA Coast
1994-01-01T00:00:00Z,-0.37107304,Salish Sea & WA Coast
1995-01-01T00:00:00Z,0.009615014,Salish Sea & WA Coast
1996-01-01T00:00:00Z,-0.6203336,Salish Sea & WA Coast
1997-01-01T00:00:00Z,1.7812351,Salish Sea & WA Coast
1998-01-01T00:00:00Z,-0.0070650475,Salish Sea & WA Coast
1999-01-01T00:00:00Z,1.9642892,Salish Sea & WA Coast
2000-01-01T00:00:00Z,0.38161278,Salish Sea & WA Coast
2001-01-01T00:00:00Z,-0.94536823,Salish Sea & WA Coast
2002-01-01T00:00:00Z,0.9461245,Salish Sea & WA Coast
2003-01-01T00:00:00Z,-0.6263068,Salish Sea & WA Coast
2004-01-01T00:00:00Z,-0.20284568,Salish Sea & WA Coast
2005-01-01T00:00:00Z,-1.7317822,Salish Sea & WA Coast
2006-01-01T00:00:00Z,0.53038836,Salish Sea & WA Coast
2007-01-01T00:00:00Z,0.05827166,Salish Sea & WA Coast
2008-01-01T00:00:00Z,1.1913848,Salish Sea & WA Coast
2009-01-01T00:00:00Z,-0.1341132,Salish Sea & WA Coast
2010-01-01T00:00:00Z,-0.6763937,Salish Sea & WA Coast
2011-01-01T00:00:00Z,0.3828463,Salish Sea & WA Coast
2012-01-01T00:00:00Z,1.0253657,Salish Sea & WA Coast
2013-01-01T00:00:00Z,0.14917156,Salish Sea & WA Coast
2014-01-01T00:00:00Z,-0.15,Salish Sea & WA Coast
2015-01-01T00:00:00Z,-2.1215336,Salish Sea & WA Coast
2016-01-01T00:00:00Z,0.08097487,Salish Sea & WA Coast
2017-01-01T00:00:00Z,0.20400411,Salish Sea & WA Coast
2018-01-01T00:00:00Z,0.074771784,Salish Sea & WA Coast
2019-01-01T00:00:00Z,-0.7104384,Salish Sea & WA Coast
2020-01-01T00:00:00Z,0.26004115,Salish Sea & WA Coast
2021-01-01T00:00:00Z,0.825926,Salish Sea & WA Coast
2022-01-01T00:00:00Z,-0.3004455,Salish Sea & WA Coast
2023-01-01T00:00:00Z,0.008752726,Salish Sea & WA Coast
