time,flow_anomaly_1_day_max,location
UTC,1-day max flow anomaly,
2006-01-01T00:00:00Z,0.0813751,S CA Bight
2007-01-01T00:00:00Z,-0.7216836,S CA Bight
2008-01-01T00:00:00Z,-0.010941998,S CA Bight
2009-01-01T00:00:00Z,-0.49020326,S CA Bight
2010-01-01T00:00:00Z,-0.020840755,S CA Bight
2011-01-01T00:00:00Z,1.1872551,S CA Bight
2012-01-01T00:00:00Z,-0.6202093,S CA Bight
2013-01-01T00:00:00Z,-0.5428519,S CA Bight
2014-01-01T00:00:00Z,-0.6674035,S CA Bight
2015-01-01T00:00:00Z,-0.683671,S CA Bight
2016-01-01T00:00:00Z,-0.63388836,S CA Bight
2017-01-01T00:00:00Z,0.4739738,S CA Bight
2018-01-01T00:00:00Z,-0.5168713,S CA Bight
2019-01-01T00:00:00Z,0.17828386,S CA Bight
2020-01-01T00:00:00Z,-0.35572955,S CA Bight
2021-01-01T00:00:00Z,-0.613856,S CA Bight
2022-01-01T00:00:00Z,-0.5797257,S CA Bight
2023-01-01T00:00:00Z,0.6899683,S CA Bight
1981-01-01T00:00:00Z,-0.49815652,Sacramento San Joaquin
1982-01-01T00:00:00Z,0.8879956,Sacramento San Joaquin
1983-01-01T00:00:00Z,1.4614561,Sacramento San Joaquin
1984-01-01T00:00:00Z,0.23560534,Sacramento San Joaquin
1985-01-01T00:00:00Z,-0.6501352,Sacramento San Joaquin
1986-01-01T00:00:00Z,1.4728395,Sacramento San Joaquin
1987-01-01T00:00:00Z,-0.6492031,Sacramento San Joaquin
1988-01-01T00:00:00Z,-0.6913417,Sacramento San Joaquin
1989-01-01T00:00:00Z,-0.4105153,Sacramento San Joaquin
1990-01-01T00:00:00Z,-0.8282883,Sacramento San Joaquin
1991-01-01T00:00:00Z,-0.47483072,Sacramento San Joaquin
1992-01-01T00:00:00Z,-0.6283329,Sacramento San Joaquin
1993-01-01T00:00:00Z,0.4542559,Sacramento San Joaquin
1994-01-01T00:00:00Z,-0.82831687,Sacramento San Joaquin
1995-01-01T00:00:00Z,1.6845795,Sacramento San Joaquin
1996-01-01T00:00:00Z,0.3791157,Sacramento San Joaquin
1997-01-01T00:00:00Z,1.9960049,Sacramento San Joaquin
1998-01-01T00:00:00Z,1.2980459,Sacramento San Joaquin
1999-01-01T00:00:00Z,-0.18810481,Sacramento San Joaquin
2000-01-01T00:00:00Z,-0.036818486,Sacramento San Joaquin
2001-01-01T00:00:00Z,-0.5655992,Sacramento San Joaquin
2002-01-01T00:00:00Z,-0.5001252,Sacramento San Joaquin
2003-01-01T00:00:00Z,-0.012311982,Sacramento San Joaquin
2004-01-01T00:00:00Z,-0.09278351,Sacramento San Joaquin
2005-01-01T00:00:00Z,0.25965554,Sacramento San Joaquin
2006-01-01T00:00:00Z,0.99379647,Sacramento San Joaquin
2007-01-01T00:00:00Z,-0.74107856,Sacramento San Joaquin
2008-01-01T00:00:00Z,-0.3947338,Sacramento San Joaquin
2009-01-01T00:00:00Z,-0.4864471,Sacramento San Joaquin
2010-01-01T00:00:00Z,-0.2192926,Sacramento San Joaquin
2011-01-01T00:00:00Z,0.41433948,Sacramento San Joaquin
2012-01-01T00:00:00Z,-0.5985804,Sacramento San Joaquin
2013-01-01T00:00:00Z,-0.3259747,Sacramento San Joaquin
2014-01-01T00:00:00Z,-0.86327296,Sacramento San Joaquin
2015-01-01T00:00:00Z,-0.3813957,Sacramento San Joaquin
2016-01-01T00:00:00Z,-0.2351705,Sacramento San Joaquin
2017-01-01T00:00:00Z,1.0601308,Sacramento San Joaquin
2018-01-01T00:00:00Z,-0.2550465,Sacramento San Joaquin
2019-01-01T00:00:00Z,0.4954366,Sacramento San Joaquin
2020-01-01T00:00:00Z,-0.79162633,Sacramento San Joaquin
2021-01-01T00:00:00Z,-0.85682416,Sacramento San Joaquin
2022-01-01T00:00:00Z,-0.6012503,Sacramento San Joaquin
2023-01-01T00:00:00Z,0.8382014,Sacramento San Joaquin
1981-01-01T00:00:00Z,0.7078731,Salish Sea & WA Coast
1982-01-01T00:00:00Z,-0.21684438,Salish Sea & WA Coast
1983-01-01T00:00:00Z,-0.101185694,Salish Sea & WA Coast
1984-01-01T00:00:00Z,0.38790375,Salish Sea & WA Coast
1985-01-01T00:00:00Z,-1.0263873,Salish Sea & WA Coast
1986-01-01T00:00:00Z,-0.04574804,Salish Sea & WA Coast
1987-01-01T00:00:00Z,0.10880293,Salish Sea & WA Coast
1988-01-01T00:00:00Z,-0.97017103,Salish Sea & WA Coast
1989-01-01T00:00:00Z,-0.78398263,Salish Sea & WA Coast
1990-01-01T00:00:00Z,0.7203959,Salish Sea & WA Coast
1991-01-01T00:00:00Z,1.5828847,Salish Sea & WA Coast
1992-01-01T00:00:00Z,-0.5153975,Salish Sea & WA Coast
1993-01-01T00:00:00Z,-1.1184202,Salish Sea & WA Coast
1994-01-01T00:00:00Z,-0.7099028,Salish Sea & WA Coast
1995-01-01T00:00:00Z,0.034074765,Salish Sea & WA Coast
1996-01-01T00:00:00Z,1.650832,Salish Sea & WA Coast
1997-01-01T00:00:00Z,0.89203227,Salish Sea & WA Coast
1998-01-01T00:00:00Z,-0.74281234,Salish Sea & WA Coast
1999-01-01T00:00:00Z,0.15216881,Salish Sea & WA Coast
2000-01-01T00:00:00Z,0.314211,Salish Sea & WA Coast
2001-01-01T00:00:00Z,-1.4669808,Salish Sea & WA Coast
2002-01-01T00:00:00Z,0.28335023,Salish Sea & WA Coast
2003-01-01T00:00:00Z,-0.0835663,Salish Sea & WA Coast
2004-01-01T00:00:00Z,0.60981536,Salish Sea & WA Coast
2005-01-01T00:00:00Z,-0.11532826,Salish Sea & WA Coast
2006-01-01T00:00:00Z,-0.3247488,Salish Sea & WA Coast
2007-01-01T00:00:00Z,1.0833993,Salish Sea & WA Coast
2008-01-01T00:00:00Z,0.5375362,Salish Sea & WA Coast
2009-01-01T00:00:00Z,0.91879004,Salish Sea & WA Coast
2010-01-01T00:00:00Z,-0.4442125,Salish Sea & WA Coast
2011-01-01T00:00:00Z,0.23985748,Salish Sea & WA Coast
2012-01-01T00:00:00Z,-0.5939856,Salish Sea & WA Coast
2013-01-01T00:00:00Z,-0.63590777,Salish Sea & WA Coast
2014-01-01T00:00:00Z,-0.5823701,Salish Sea & WA Coast
2015-01-01T00:00:00Z,0.16102427,Salish Sea & WA Coast
2016-01-01T00:00:00Z,0.34877655,Salish Sea & WA Coast
2017-01-01T00:00:00Z,-0.5182247,Salish Sea & WA Coast
2018-01-01T00:00:00Z,0.21302018,Salish Sea & WA Coast
2019-01-01T00:00:00Z,-0.68765193,Salish Sea & WA Coast
2020-01-01T00:00:00Z,0.31446734,Salish Sea & WA Coast
2021-01-01T00:00:00Z,-0.41335955,Salish Sea & WA Coast
2022-01-01T00:00:00Z,1.288015,Salish Sea & WA Coast
2023-01-01T00:00:00Z,-0.5587063,Salish Sea & WA Coast
