"","name","trend","Species","ESU","pop"
"55","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Upper Cowlitz River Fall-run",0.166554845990464,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Upper Cowlitz River Fall-run"
"56","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Upper Gorge Tributaries Fall-run",0.0396501874056789,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Upper Gorge Tributaries Fall-run"
"57","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Washougal River Fall-run",-0.0271636647526941,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - Washougal River Fall-run"
"58","Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - White Salmon River Fall-run",0.0351182577110082,"Chinook","Lower Columbia River Chinook Salmon ESU","Chinook Salmon (Lower Columbia River ESU) - White Salmon River Fall-run"
"59","Chinook_Oregon Coast Chinook salmon_Alsea fall Chinook",0.00255070314061469,"Chinook","Oregon Coast Chinook salmon","Alsea fall Chinook"
"60","Chinook_Oregon Coast Chinook salmon_Coos fall Chinook",-0.00519420476816947,"Chinook","Oregon Coast Chinook salmon","Coos fall Chinook"
"61","Chinook_Oregon Coast Chinook salmon_Coquille fall Chinook",-0.0730501715792334,"Chinook","Oregon Coast Chinook salmon","Coquille fall Chinook"
"62","Chinook_Oregon Coast Chinook salmon_Elk fall Chinook",-0.0150960143094649,"Chinook","Oregon Coast Chinook salmon","Elk fall Chinook"
"63","Chinook_Oregon Coast Chinook salmon_Floras fall Chinook",-0.0556915318571386,"Chinook","Oregon Coast Chinook salmon","Floras fall Chinook"
"64","Chinook_Oregon Coast Chinook salmon_Nehalem fall Chinook",0.00186156906939674,"Chinook","Oregon Coast Chinook salmon","Nehalem fall Chinook"
"65","Chinook_Oregon Coast Chinook salmon_Nestucca fall Chinook",-0.0385523574920241,"Chinook","Oregon Coast Chinook salmon","Nestucca fall Chinook"
