,name,trend,Species,ESU,pop,run
57,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Washougal River Fall-run,-0.027163665,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - Washougal River Fall-run,late
58,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - White Salmon River Fall-run,0.035118258,Chinook,Lower Columbia River Chinook Salmon ESU,Chinook Salmon (Lower Columbia River ESU) - White Salmon River Fall-run,late
59,Chinook_Oregon Coast Chinook salmon_Alsea fall Chinook,0.002550703,Chinook,Oregon Coast Chinook salmon,Alsea fall Chinook,late
60,Chinook_Oregon Coast Chinook salmon_Coos fall Chinook,-0.005194205,Chinook,Oregon Coast Chinook salmon,Coos fall Chinook,late
61,Chinook_Oregon Coast Chinook salmon_Coquille fall Chinook,-0.073050172,Chinook,Oregon Coast Chinook salmon,Coquille fall Chinook,late
62,Chinook_Oregon Coast Chinook salmon_Elk fall Chinook,-0.015096014,Chinook,Oregon Coast Chinook salmon,Elk fall Chinook,late
63,Chinook_Oregon Coast Chinook salmon_Floras fall Chinook,-0.055691532,Chinook,Oregon Coast Chinook salmon,Floras fall Chinook,late
64,Chinook_Oregon Coast Chinook salmon_Nehalem fall Chinook,0.001861569,Chinook,Oregon Coast Chinook salmon,Nehalem fall Chinook,late
65,Chinook_Oregon Coast Chinook salmon_Nestucca fall Chinook,-0.038552357,Chinook,Oregon Coast Chinook salmon,Nestucca fall Chinook,late
66,Chinook_Oregon Coast Chinook salmon_North.Umpqua spring Chinook,-0.006439358,Chinook,Oregon Coast Chinook salmon,North.Umpqua spring Chinook,early
67,Chinook_Oregon Coast Chinook salmon_Salmon fall Chinook,-0.000878854,Chinook,Oregon Coast Chinook salmon,Salmon fall Chinook,late
68,Chinook_Oregon Coast Chinook salmon_Siletz fall Chinook,-0.025910426,Chinook,Oregon Coast Chinook salmon,Siletz fall Chinook,late
69,Chinook_Oregon Coast Chinook salmon_Siuslaw fall Chinook,-0.035389507,Chinook,Oregon Coast Chinook salmon,Siuslaw fall Chinook,late
70,Chinook_Oregon Coast Chinook salmon_Sixes fall Chinook,-0.00266877,Chinook,Oregon Coast Chinook salmon,Sixes fall Chinook,late
71,Chinook_Oregon Coast Chinook salmon_South.Umpqua spring Chinook,-0.049429225,Chinook,Oregon Coast Chinook salmon,South.Umpqua spring Chinook,early
72,Chinook_Oregon Coast Chinook salmon_Tillamook fall Chinook,-0.008032952,Chinook,Oregon Coast Chinook salmon,Tillamook fall Chinook,late
73,Chinook_Oregon Coast Chinook salmon_Umpqua fall Chinook,-0.005825913,Chinook,Oregon Coast Chinook salmon,Umpqua fall Chinook,late
74,Chinook_Oregon Coast Chinook salmon_Yaquina fall Chinook,0.009602578,Chinook,Oregon Coast Chinook salmon,Yaquina fall Chinook,late
75,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Cascade River,-0.009599605,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Cascade River,early
76,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Cedar River,0.043084492,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Cedar River,late
77,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Dungeness River,0.039083501,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Dungeness River,early
78,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Elwha River,0.062124415,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Elwha River,late
79,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Green River,-0.028268953,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Green River,late
80,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Lower Sauk River,-0.005719724,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Lower Sauk River,late
81,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Lower Skagit River,0.020405191,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Lower Skagit River,late
82,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Lower/North Fork/Middle Fork Nooksack,0.034052878,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Lower/North Fork/Middle Fork Nooksack,early
83,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Mid-Hood Canal,0.034169873,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Mid-Hood Canal,late
84,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Nisqually River,0.04048984,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Nisqually River,late
85,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - North Fork Stillaguamish River,-0.026800611,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - North Fork Stillaguamish River,late
86,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Puyallup River,-0.016234619,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Puyallup River,late
87,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Sammamish River,0.020024827,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Sammamish River,late
88,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Skokomish River,0.020927425,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Skokomish River,late
89,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Skykomish River,-0.021370081,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Skykomish River,late
90,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Snoqualmie River,-0.020041799,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Snoqualmie River,late
