"","name","ESU","trend","Species.x","pop","Number","Species.y","DPS_short","DPS_WCR","Status","Region","Domain","abn_type","org","shape","col","pos","X","run","shape_run"
"60","Chinook_Oregon Coast Chinook salmon_Coos fall Chinook","Oregon Coast Chinook salmon",-0.00519420476816947,"Chinook","Coos fall Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",0,60,"late",1
"61","Chinook_Oregon Coast Chinook salmon_Coquille fall Chinook","Oregon Coast Chinook salmon",-0.0730501715792334,"Chinook","Coquille fall Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",0,61,"late",1
"62","Chinook_Oregon Coast Chinook salmon_Elk fall Chinook","Oregon Coast Chinook salmon",-0.0150960143094649,"Chinook","Elk fall Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",0,62,"late",1
"63","Chinook_Oregon Coast Chinook salmon_Floras fall Chinook","Oregon Coast Chinook salmon",-0.0556915318571386,"Chinook","Floras fall Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",0,63,"late",1
"64","Chinook_Oregon Coast Chinook salmon_Nehalem fall Chinook","Oregon Coast Chinook salmon",0.00186156906939674,"Chinook","Nehalem fall Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",1,64,"late",1
"65","Chinook_Oregon Coast Chinook salmon_Nestucca fall Chinook","Oregon Coast Chinook salmon",-0.0385523574920241,"Chinook","Nestucca fall Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",0,65,"late",1
"66","Chinook_Oregon Coast Chinook salmon_North.Umpqua spring Chinook","Oregon Coast Chinook salmon",-0.00643935757100226,"Chinook","North.Umpqua spring Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",0,66,"early",19
"67","Chinook_Oregon Coast Chinook salmon_Salmon fall Chinook","Oregon Coast Chinook salmon",-0.000878853961783448,"Chinook","Salmon fall Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",0,67,"late",1
"68","Chinook_Oregon Coast Chinook salmon_Siletz fall Chinook","Oregon Coast Chinook salmon",-0.0259104261054118,"Chinook","Siletz fall Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",0,68,"late",1
"69","Chinook_Oregon Coast Chinook salmon_Siuslaw fall Chinook","Oregon Coast Chinook salmon",-0.0353895073451219,"Chinook","Siuslaw fall Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",0,69,"late",1
"70","Chinook_Oregon Coast Chinook salmon_Sixes fall Chinook","Oregon Coast Chinook salmon",-0.00266877025101328,"Chinook","Sixes fall Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",0,70,"late",1
"71","Chinook_Oregon Coast Chinook salmon_South.Umpqua spring Chinook","Oregon Coast Chinook salmon",-0.0494292251337016,"Chinook","South.Umpqua spring Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",0,71,"early",19
"72","Chinook_Oregon Coast Chinook salmon_Tillamook fall Chinook","Oregon Coast Chinook salmon",-0.00803295165593224,"Chinook","Tillamook fall Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast",1,"#1B9E77",0,72,"late",1
